uid,nickname,saved_at
7307247360510498115,와트와트와트/9,2025-08-13 23:51:40
7313008665401760691,팍양양/23,2025-08-13 23:51:40
7317697827041878367,민하핥 13,2025-08-13 23:51:40
7327084237354734652,유우우우우지이이인/13/x1,2025-08-13 23:51:40
7336809982837941084,망고씨랜드/14/x,2025-08-13 23:51:40
7342509651326346903,복귀유저3일차/14/2배X,2025-08-13 23:51:40
7345662368159870089,정워니네/15/배속X,2025-08-13 23:51:40
7372708740803255468,빵밤이123/브론즈,2025-08-13 23:51:40
7380705598381751259,훈이ㅈ망겜/12/2배,2025-08-13 23:51:40
7385590009157983726,남두기/9,2025-08-13 23:51:40
7390380697571368505,🎖️서초동주민/21/2배,2025-08-13 23:51:40
7406139096051913099,wow0472 / 14 / x,2025-08-13 23:51:40
7410125657427775277,빠따 좋아좋아 /14,2025-08-13 23:51:40
7436213722278107300,간장튀김새우/8,2025-08-13 23:51:40
7436437378317775520,반숙계란찜/17렙,2025-08-13 23:51:40
7438448237155190765,슈퍼미러볼/12,2025-08-13 23:51:40
7439421414692328299,Rᴏᴍᴀ누구새우/ 18/2,2025-08-13 23:51:40
7451236652489092581,정의/24/x2_USA,2025-08-13 23:51:40
7454322546305146265,아느로아우/3,2025-08-13 23:51:40
7456566601209854055,모찌팝/15 배속o,2025-08-13 23:51:40
7458185728946596867,윤이쭌이/20/2배,2025-08-13 23:51:40
7464871817538383059,맛있는김치찜 / 15 / 2배,2025-08-13 23:51:40
7478272502589654184,seung9/20,2025-08-13 23:51:40
7481366203554906962,ᴺᵃᵐᵉᵈ짜장,2025-08-13 23:51:40
7481492740739290528,운빨좋되는놈/13,2025-08-13 23:51:40
7482350145183397954,깨룸 / 19 / x2,2025-08-13 23:51:40
7482425600209555250,매드스트라이커/10,2025-08-13 23:51:40
7485829773426182066,블롭뱃살불룩/10렙,2025-08-13 23:51:40
7494212385497057797,민우123/11,2025-08-13 23:51:40
7500684701007619336,usad/7레벨/하드0,2025-08-13 23:51:40
7504038087860535114,권규니 11,2025-08-13 23:51:40
7513524219925823145,엊절존많겜/13,2025-08-13 23:51:40
7519325132074077709,경례하는 프로도,2025-08-13 23:51:40
7530488147669551698,바보많겜/16,2025-08-13 23:51:40
7531278778311220044,3대뻥카쟁이/16,2025-08-13 23:51:40
7554125379452564156,ᴺᵃᵐᵉᵈ라후²⁴,2025-08-13 23:51:40
7571648699717188043,Roma용팔/17/2배,2025-08-13 23:51:40
7581467542947439041,그래이맛이야/16/배속ㅇ,2025-08-13 23:51:40
7604702548334300014,밍바다 / 16 / 2X,2025-08-13 23:51:40
7605746948215768013,강하다강해륀/ 16,2025-08-13 23:51:40
7608947428697604581,유멜로/16/2배,2025-08-13 23:51:40
7614558420097778462,결국재명된이재명/10,2025-08-13 23:51:40
7617510882672517179,🎖️스턴없으면잠수/22,2025-08-13 23:51:40
7621755395593679765,DRAGON¹/3,2025-08-13 23:51:40
7641596744841757220,🎖️밥푸는녀석들/22/10109,2025-08-13 23:51:40
7642506828518020754,헤일리콥터/11,2025-08-13 23:51:40
7649577052224494355,윤활유님 / 11,2025-08-13 23:51:40
7656725500970247090,별쏘다/17,2025-08-13 23:51:40
7658862179807783607,재해의왕/13,2025-08-13 23:51:40
7662305733872749797,🎖️ ᴺᵃᵐᵉᵈ짬뽕²²,2025-08-13 23:51:40
7666014899447744849,톳테누릴리리/4/1,2025-08-13 23:51:40
7666223502421780406,양송이1234/11/1배,2025-08-13 23:51:40
7734718350598763712,입시망겜/11,2025-08-13 23:51:40
7746682517198123177,사대탈모/16/배속×,2025-08-13 23:51:40
7748544390989166893,ㅅㅋㅇ/15,2025-08-13 23:51:40
7753088512070418403,지이라아알까기 12 배속,2025-08-13 23:51:40
7758984245089530481,닥스팟/23/x2,2025-08-13 23:51:40
7765150695251427297,애움/12,2025-08-13 23:51:40
7767162560715077793,ᴺᵃᵐᵉᵈ성다빈²⁴,2025-08-13 23:51:40
7771356447133975750,쥐쥑/14/1배(스턴위치알고있어요),2025-08-13 23:51:40
7773122154676037537,아우오엋/11,2025-08-13 23:51:40
7806637165991578457,불구리원툴/11랩/2배속,2025-08-13 23:51:40
